MODEL	QUERY	N	SCORE
YAKE	2	50	0.0
YAKE	2	100	0.0
YAKE	2	200	0.0
YAKE	4	10	0.0
YAKE	4	20	0.0
YAKE	4	50	0.0
YAKE	4	100	0.0
YAKE	4	200	0.0
YAKE	5	10	0.0
YAKE	5	20	0.0
YAKE	5	50	0.0
YAKE	5	100	0.045454545454545456
YAKE	5	200	0.045454545454545456
KPMINER	3	10	0.0
KPMINER	3	20	0.0
KPMINER	3	50	0.0
KPMINER	3	100	0.0
KPMINER	3	200	0.0
KPMINER	1	10	0.0
KPMINER	1	20	0.0
KPMINER	1	50	0.0
KPMINER	1	100	0.0
KPMINER	1	200	0.0
KPMINER	2	10	0.0
KPMINER	2	20	0.0
KPMINER	2	50	0.0
KPMINER	2	100	0.0
KPMINER	2	200	0.0
KPMINER	4	10	0.0
KPMINER	4	20	0.0
KPMINER	4	50	0.0
KPMINER	4	100	0.0
KPMINER	4	200	0.0
KPMINER	5	10	0.0
KPMINER	5	20	0.0
KPMINER	5	50	0.0
KPMINER	5	100	0.0
KPMINER	5	200	0.0
TopicRankResults	3	10	0.0
TopicRankResults	3	20	0.0
TopicRankResults	3	50	0.0
TopicRankResults	3	100	0.0
TopicRankResults	3	200	0.0
TopicRankResults	1	10	0.0
TopicRankResults	1	20	0.0
TopicRankResults	1	50	0.0
TopicRankResults	1	100	0.0
TopicRankResults	1	200	0.0
TopicRankResults	2	10	0.0
TopicRankResults	2	20	0.0
TopicRankResults	2	50	0.0
TopicRankResults	2	100	0.0
TopicRankResults	2	200	0.0
TopicRankResults	4	10	0.0
TopicRankResults	4	20	0.0
TopicRankResults	4	50	0.0
TopicRankResults	4	100	0.0
TopicRankResults	4	200	0.0
TopicRankResults	5	10	0.0
TopicRankResults	5	20	0.0
TopicRankResults	5	50	0.0
TopicRankResults	5	100	0.0
TopicRankResults	5	200	0.0
